,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,minutestamp,PC0,PC1
53,0.311,0.462,-7.874,0.0414,0.0405,0.947,0.0858,0.362,141.498,320.9205166666667,0.6279046257734884,-1.6456506161697613
54,0.0792,0.155,-17.508,0.0472,0.821,0.966,0.114,0.0347,172.351,325.94551666666666,3.613388263344251,-0.9555561901066274
55,0.0745,0.0624,-23.616,0.0492,0.912,0.895,0.103,0.0338,79.581,333.05385,4.73372864097632,0.7328528312338386
56,0.256,0.489,-9.12,0.0382,0.00484,0.00238,0.133,0.0542,116.538,338.2022666666667,0.23183150128991611,-0.9029690169785876
57,0.179,0.154,-21.45,0.0385,0.89,0.000163,0.371,0.11,94.248,340.9076,2.7764231435441986,1.6824386455861247
58,0.332,0.568,-6.479,0.0392,0.324,0.539,0.107,0.0619,117.753,344.50405,0.6071393101492304,-0.9465854897440295
59,0.38,0.727,-5.073,0.03,1.51e-05,0.101,0.368,0.196,105.055,349.55493333333334,-1.0683046275596557,-0.1060477071293103
60,0.0964,0.317,-11.082,0.0375,0.749,0.95,0.176,0.0297,81.193,355.80538333333334,2.953274356404558,0.29134321453149725
61,0.361,0.824,-6.037,0.0631,0.000591,0.0486,0.106,0.0985,120.666,363.5498333333333,-0.9264490773523698,-0.9976282825164832
62,0.0968,0.22,-13.907,0.0398,0.817,0.623,0.156,0.0361,74.809,368.49983333333336,3.1297630745421143,0.64840222821568
63,0.39,0.857,-5.293,0.0296,0.343,0.0185,0.367,0.616,106.282,372.60671666666667,-1.5695049395276672,0.3492882471443783
64,0.362,0.689,-5.18,0.0334,0.106,0.577,0.101,0.112,102.665,378.17893333333336,0.05304992832333138,-1.115965997606792
65,0.528,0.952,-6.338,0.0698,0.0818,0.311,0.353,0.778,177.366,381.2904833333333,-2.501801982939018,-0.6642921969100213
66,0.137,0.139,-19.434,0.0376,0.833,0.856,0.123,0.048,65.193,389.12381666666664,4.01970332578517,0.7299577150034507
67,0.069,0.398,-12.103,0.066,0.582,0.384,0.701,0.039,74.796,400.70995,1.5479012895302826,2.6989800882576986
68,0.147,0.442,-8.684,0.0334,0.126,0.915,0.129,0.0344,137.834,409.9746166666667,1.5616992091853892,-1.548157312693592
69,0.137,0.362,-13.904,0.0408,0.797,0.936,0.131,0.0342,83.202,414.82461666666666,3.10876218503042,0.2252658699203235
70,0.128,0.133,-13.919,0.0385,0.919,0.657,0.105,0.0397,66.897,421.4632833333333,3.4398008915424088,0.716068173379634
71,0.415,0.355,-11.851,0.0293,0.769,0.0354,0.0683,0.099,128.752,429.39506666666665,1.1969662172281246,-0.45379215623076846
72,0.184,0.423,-9.335,0.0399,0.496,0.901,0.201,0.0954,137.74,436.17128333333335,1.7678764085585565,-0.7487020457822118
73,0.128,0.375,-10.926,0.0429,0.0746,0.403,0.151,0.0435,166.383,444.34973333333335,1.142808279876673,-1.571860770854075
74,0.131,0.638,-8.963,0.0419,0.0571,0.78,0.109,0.174,157.651,456.10128333333336,0.8063411882236573,-1.9055478690167595
75,0.16,0.13,-18.416,0.0403,0.857,0.491,0.19,0.0378,100.599,463.80896666666666,3.3220046471629248,0.6274924162591338
76,0.197,0.334,-16.672,0.0889,0.938,0.891,0.116,0.0247,120.424,466.1923,3.1000101572105767,0.3983407229252368
77,0.665,0.308,-12.804,0.0245,0.213,0.321,0.0885,0.491,93.027,476.1351,0.1834589658300433,-0.3470823530182644
78,0.161,0.246,-13.514,0.0369,0.713,0.967,0.0967,0.0368,95.099,483.87465,3.1631988130479565,-0.16943348096726063
79,0.304,0.264,-19.115,0.0435,0.742,0.965,0.184,0.0399,124.95,489.0366,3.1353312948601544,-0.06380340594340812
80,0.253,0.694,-7.235,0.0545,0.0723,0.952,0.211,0.33,74.314,495.4846,0.4669210336966833,-0.1271937058547438
81,0.407,0.184,-12.944,0.0337,0.808,0.0415,0.536,0.0841,93.092,505.2744666666667,1.2971562485028987,2.038871616124249
82,0.19,0.482,-11.912,0.0469,0.33,0.798,0.0926,0.228,134.418,513.3235833333333,1.5418502450669955,-1.0968238129332901
83,0.155,0.47,-9.221,0.034,0.696,0.83,0.0979,0.0496,84.218,519.9378,2.2735258815142894,-0.19138898439568197
84,0.164,0.345,-10.738,0.0327,0.851,0.892,0.454,0.0346,138.538,526.5495833333333,2.262400713078681,0.5265970203521876
85,0.452,0.507,-13.181,0.0272,0.215,0.905,0.0788,0.56,130.608,534.16975,0.7190082170842012,-1.2887791172826266
86,0.351,0.609,-9.031,0.0418,0.0614,0.803,0.386,0.1,102.041,542.5746833333334,0.4452528179479891,0.026020132206123897
87,0.114,0.198,-14.357,0.0313,0.818,0.917,0.108,0.0378,89.535,549.1318,3.5055167791213457,0.054924379571914705
88,0.204,0.421,-11.806,0.0317,0.407,0.75,0.162,0.117,117.34,556.0831333333333,1.8247678348521765,-0.6535325277562212
89,0.0874,0.042,-22.988,0.0396,0.915,0.179,0.0965,0.0325,85.018,563.8857166666667,3.9444642946100603,0.8029211921865551
90,0.2,0.466,-12.298,0.0486,0.557,0.702,0.108,0.0572,136.913,573.9998833333333,1.908286713052895,-0.8194972314766
91,0.0922,0.145,-22.38,0.0426,0.408,0.926,0.239,0.0325,76.464,579.89935,3.8418936381324,0.6003072180437831
92,0.375,0.234,-13.507,0.0325,0.936,0.89,0.141,0.0368,98.063,586.0289,2.835789732393868,0.23010115730041
93,0.312,0.543,-9.875,0.0308,0.0356,0.225,0.128,0.178,140.109,590.5291166666667,0.1361458941176919,-1.381333245449004
94,0.502,0.177,-13.143,0.0434,0.89,0.0,0.19,0.283,66.605,592.7691166666667,1.348673785798745,1.4676084912865073
95,0.514,0.403,-9.377,0.0429,0.481,0.0,0.11,0.464,132.683,596.1073333333334,-0.24172500321318938,-0.4112792704975606
96,0.635,0.278,-12.551,0.203,0.797,1.85e-06,0.0672,0.626,133.517,601.19845,-0.38009163697882176,1.8125341055230657
97,0.452,0.164,-13.214,0.0963,0.581,0.0,0.287,0.355,85.161,605.1602333333333,0.7101148606332771,1.847083385849413
98,0.223,0.414,-11.666,0.0359,0.431,0.0595,0.0876,0.146,117.87,609.3042333333333,1.099086311981968,-0.5771224130934542
